Archetype,Attribute,Level,Cost
MAGICIAN,Acceleration,40,1
MAGICIAN,Acceleration,41,1
MAGICIAN,Acceleration,42,1
MAGICIAN,Acceleration,43,1
MAGICIAN,Acceleration,44,1
MAGICIAN,Acceleration,45,1
MAGICIAN,Acceleration,46,1
MAGICIAN,Acceleration,47,1
MAGICIAN,Acceleration,48,1
MAGICIAN,Acceleration,49,1
MAGICIAN,Acceleration,50,1
MAGICIAN,Acceleration,51,1
MAGICIAN,Acceleration,52,1
MAGICIAN,Acceleration,53,1
MAGICIAN,Acceleration,54,1
MAGICIAN,Acceleration,55,1
MAGICIAN,Acceleration,56,1
MAGICIAN,Acceleration,57,1
MAGICIAN,Acceleration,58,1
MAGICIAN,Acceleration,59,1
MAGICIAN,Acceleration,60,2
MAGICIAN,Acceleration,61,2
MAGICIAN,Acceleration,62,2
MAGICIAN,Acceleration,63,2
MAGICIAN,Acceleration,64,3
MAGICIAN,Acceleration,65,3
MAGICIAN,Acceleration,66,3
MAGICIAN,Acceleration,67,3
MAGICIAN,Acceleration,68,3
MAGICIAN,Acceleration,69,3
MAGICIAN,Acceleration,70,4
MAGICIAN,Acceleration,71,4
MAGICIAN,Acceleration,72,4
MAGICIAN,Acceleration,73,4
MAGICIAN,Acceleration,74,4
MAGICIAN,Acceleration,75,6
MAGICIAN,Acceleration,76,6
MAGICIAN,Acceleration,77,6
MAGICIAN,Acceleration,78,6
MAGICIAN,Acceleration,79,6
MAGICIAN,Acceleration,80,7
MAGICIAN,Acceleration,81,7
MAGICIAN,Acceleration,82,7
MAGICIAN,Acceleration,83,7
MAGICIAN,Acceleration,84,7
MAGICIAN,Acceleration,85,11
MAGICIAN,Acceleration,86,11
MAGICIAN,Acceleration,87,11
MAGICIAN,Acceleration,88,11
MAGICIAN,Acceleration,89,11
MAGICIAN,Acceleration,90,15
MAGICIAN,Acceleration,91,15
MAGICIAN,Acceleration,92,15
MAGICIAN,Acceleration,93,15
MAGICIAN,Acceleration,94,15
MAGICIAN,Acceleration,95,18
MAGICIAN,Acceleration,96,22
MAGICIAN,Acceleration,97,26
MAGICIAN,Acceleration,98,30
MAGICIAN,Acceleration,99,33
MAGICIAN,SprintSpeed,40,2
MAGICIAN,SprintSpeed,41,2
MAGICIAN,SprintSpeed,42,2
MAGICIAN,SprintSpeed,43,2
MAGICIAN,SprintSpeed,44,2
MAGICIAN,SprintSpeed,45,2
MAGICIAN,SprintSpeed,46,2
MAGICIAN,SprintSpeed,47,2
MAGICIAN,SprintSpeed,48,2
MAGICIAN,SprintSpeed,49,2
MAGICIAN,SprintSpeed,50,2
MAGICIAN,SprintSpeed,51,2
MAGICIAN,SprintSpeed,52,2
MAGICIAN,SprintSpeed,53,2
MAGICIAN,SprintSpeed,54,2
MAGICIAN,SprintSpeed,55,2
MAGICIAN,SprintSpeed,56,2
MAGICIAN,SprintSpeed,57,2
MAGICIAN,SprintSpeed,58,2
MAGICIAN,SprintSpeed,59,2
MAGICIAN,SprintSpeed,60,3
MAGICIAN,SprintSpeed,61,3
MAGICIAN,SprintSpeed,62,3
MAGICIAN,SprintSpeed,63,3
MAGICIAN,SprintSpeed,64,4
MAGICIAN,SprintSpeed,65,4
MAGICIAN,SprintSpeed,66,4
MAGICIAN,SprintSpeed,67,5
MAGICIAN,SprintSpeed,68,5
MAGICIAN,SprintSpeed,69,5
MAGICIAN,SprintSpeed,70,6
MAGICIAN,SprintSpeed,71,6
MAGICIAN,SprintSpeed,72,6
MAGICIAN,SprintSpeed,73,6
MAGICIAN,SprintSpeed,74,6
MAGICIAN,SprintSpeed,75,8
MAGICIAN,SprintSpeed,76,8
MAGICIAN,SprintSpeed,77,8
MAGICIAN,SprintSpeed,78,8
MAGICIAN,SprintSpeed,79,8
MAGICIAN,SprintSpeed,80,10
MAGICIAN,SprintSpeed,81,10
MAGICIAN,SprintSpeed,82,10
MAGICIAN,SprintSpeed,83,10
MAGICIAN,SprintSpeed,84,10
MAGICIAN,SprintSpeed,85,15
MAGICIAN,SprintSpeed,86,15
MAGICIAN,SprintSpeed,87,15
MAGICIAN,SprintSpeed,88,15
