Level,AP Available,Signature Upgrades,Custom Slots
1,100,0,1
2,109,0,1
3,118,0,1
4,127,0,1
5,146,0,1
6,156,0,1
7,166,0,1
8,176,0,1
9,186,0,1
10,224,0,2
11,237,0,2
12,250,0,2
13,263,0,2
14,276,0,2
15,301,0,2
16,314,0,2
17,327,0,2
18,340,0,2
19,353,0,2
20,397,0,3
21,416,0,3
22,435,0,3
23,454,0,3
24,473,0,3
25,511,0,3
26,536,0,3
27,561,0,3
28,586,0,3
29,611,0,3
30,674,1,3
31,699,1,3
32,724,1,3
33,749,1,3
34,774,1,3
35,812,1,3
36,837,1,3
37,862,1,3
38,887,1,3
39,912,1,3
40,962,1,4
41,987,1,4
42,1012,1,4
43,1037,1,4
44,1062,1,4
45,1106,1,4
46,1131,1,4
47,1156,1,4
48,1181,1,4
49,1206,1,4
50,1269,2,4
51,1294,2,4
52,1319,2,4
53,1344,2,4
54,1369,2,4
55,1419,2,4
56,1444,2,4
57,1469,2,4
58,1494,2,4
59,1519,2,4
60,1569,2,5
61,1594,2,5
62,1619,2,5
63,1644,2,5
64,1669,2,5
65,1719,2,5
66,1744,2,5
67,1769,2,5
68,1794,2,5
69,1819,2,5
70,1869,2,6
71,1894,2,6
72,1919,2,6
73,1944,2,6
74,1969,2,6
75,2044,3,6
76,2075,3,6
77,2106,3,6
78,2137,3,6
79,2168,3,6
80,2231,3,7
81,2262,3,7
82,2293,3,7
83,2324,3,7
84,2355,3,7
85,2443,3,7
86,2474,3,7
87,2505,3,7
88,2536,3,7
89,2567,3,7
90,2630,3,8
91,2661,3,8
92,2692,3,8
93,2723,3,8
94,2754,3,8
95,2854,4,9
96,2904,4,9
97,2954,4,9
98,3004,4,9
99,3054,4,9
100,3167,4,9
