Archetype,Attribute,Base Value,Max Value
Boss,Acceleration,70,90
Boss,Sprint Speed,70,90
Boss,Attack Positioning,75,90
Boss,Finishing,45,82
Boss,Shot Power,70,96
Boss,Long Shots,60,85
Boss,Volleys,60,80
Boss,Penalties,65,92
Boss,Vision,55,90
Boss,Crossing,45,90
Boss,FK Accuracy,50,90
Boss,Short Passing,65,92
Boss,Long Passing,65,90
Boss,Curve,50,75
Boss,Agility,65,90
Boss,Balance,75,90
Boss,Reactions,75,99
Boss,Ball Control,65,92
Boss,Dribbling,60,88
Boss,Composure,65,92
Boss,Interceptions,75,96
Boss,Heading Accuracy,75,99
Boss,Defensive Awareness,75,96
Boss,Standing Tackle,75,96
Boss,Sliding Tackle,75,99
Boss,Jumping,75,99
Boss,Stamina,70,92
Boss,Strength,75,99
Boss,Aggression,75,99
Progressor,Acceleration,70,92
Progressor,Sprint Speed,72,92
Progressor,Attack Positioning,70,90
Progressor,Finishing,50,85
Progressor,Shot Power,65,92
Progressor,Long Shots,50,85
Progressor,Volleys,50,75
Progressor,Penalties,65,92
Progressor,Vision,75,92
Progressor,Crossing,50,92
Progressor,FK Accuracy,45,90
Progressor,Short Passing,75,96
Progressor,Long Passing,75,96
Progressor,Curve,50,85
Progressor,Agility,70,92
Progressor,Balance,70,92
Progressor,Reactions,65,99
Progressor,Ball Control,70,96
Progressor,Dribbling,65,92
Progressor,Composure,75,96
Progressor,Interceptions,75,96
Progressor,Heading Accuracy,75,96
Progressor,Defensive Awareness,75,99
Progressor,Standing Tackle,75,99
Progressor,Sliding Tackle,75,96
Progressor,Jumping,75,99
Progressor,Stamina,65,92
Progressor,Strength,70,96
Progressor,Aggression,65,96
Marauder,Acceleration,90,95
Marauder,Sprint Speed,90,95
Marauder,Attack Positioning,65,92
Marauder,Finishing,55,90
Marauder,Shot Power,65,92
Marauder,Long Shots,60,90
Marauder,Volleys,60,90
Marauder,Penalties,65,96
Marauder,Vision,60,92
Marauder,Crossing,85,99
Marauder,FK Accuracy,60,95
Marauder,Short Passing,85,92
Marauder,Long Passing,85,92
Marauder,Curve,75,96
Marauder,Agility,70,95
Marauder,Balance,65,92
Marauder,Reactions,70,99
Marauder,Ball Control,70,96
Marauder,Dribbling,70,92
Marauder,Composure,65,92
Marauder,Interceptions,70,96
Marauder,Heading Accuracy,65,90
Marauder,Defensive Awareness,70,96
Marauder,Standing Tackle,70,96
Marauder,Sliding Tackle,75,96
Marauder,Jumping,60,92
Marauder,Stamina,85,96
Marauder,Strength,60,92
Marauder,Aggression,72,96
Maestro,Acceleration,70,90
Maestro,Sprint Speed,65,90
Maestro,Attack Positioning,80,96
Maestro,Finishing,65,96
Maestro,Shot Power,70,96
Maestro,Long Shots,70,96
Maestro,Volleys,65,96
Maestro,Penalties,70,99
Maestro,Vision,75,99
Maestro,Crossing,75,92
Maestro,FK Accuracy,75,99
Maestro,Short Passing,75,96
Maestro,Long Passing,75,99
Maestro,Curve,70,96
Maestro,Agility,72,99
Maestro,Balance,70,96
Maestro,Reactions,65,99
Maestro,Ball Control,75,99
Maestro,Dribbling,65,96
Maestro,Composure,72,99
Maestro,Interceptions,55,92
Maestro,Heading Accuracy,50,85
Maestro,Defensive Awareness,50,90
Maestro,Standing Tackle,72,90
Maestro,Sliding Tackle,50,90
Maestro,Jumping,60,90
Maestro,Stamina,65,92
Maestro,Strength,60,92
Maestro,Aggression,65,92
Creator,Acceleration,70,92
Creator,Sprint Speed,65,92
Creator,Attack Positioning,80,99
Creator,Finishing,65,96
Creator,Shot Power,72,96
Creator,Long Shots,72,99
Creator,Volleys,72,96
Creator,Penalties,75,99
Creator,Vision,75,99
Creator,Crossing,75,96
Creator,FK Accuracy,75,99
Creator,Short Passing,75,96
