Level,AP Available,Signature playstyle Upgrade,New playstyle slot,Masteries
1,100,0,0,0
2,109,0,0,0
3,118,0,0,0
4,127,0,0,0
5,146,0,1,0
6,156,0,1,0
7,166,0,1,0
8,176,0,1,0
9,186,0,1,0
10,224,0,1,1
11,237,0,1,1
12,250,0,1,1
13,263,0,1,1
14,276,0,1,1
15,301,0,2,1
16,314,0,2,1
17,327,0,2,1
18,340,0,2,1
19,353,0,2,1
20,397,1,2,1
21,416,1,2,1
22,435,1,2,1
23,454,1,2,1
24,473,1,2,1
25,511,1,2,1
26,536,1,2,1
27,561,1,2,1
28,586,1,2,1
29,611,1,2,1
30,674,1,2,2
31,699,1,2,2
32,724,1,2,2
33,749,1,2,2
34,774,1,2,2
35,812,1,2,2
36,837,1,2,2
37,862,1,2,2
38,887,1,2,2
39,912,1,2,2
40,962,1,3,2
